Unnamed: 0,Stream start time,Stream URL,Stream length,Avg viewers,Peak viewers,Followers gained,Followers per hour,Views,Views per hour,Games
1,Thursday 31st December 2020 19:37,https://sullygnome.com/channel/sapnap/stream/41148193022,112,51560,58363,10940,5470,91283,34339,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Chess|Chess|https://static-cdn.jtvnw.net/ttv-boxart/Chess-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
2,Tuesday 29th December 2020 23:05,https://sullygnome.com/channel/sapnap/stream/41125304558,129,56765,59491,11912,5294,99095,37952,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
3,Monday 28th December 2020 17:27,https://sullygnome.com/channel/sapnap/stream/41109670782,107,15520,25507,9251,4625,67586,28253,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
4,Saturday 26th December 2020 17:45,https://sullygnome.com/channel/sapnap/stream/41085832750,179,52369,60584,17570,5856,118665,36966,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
5,Sunday 20th December 2020 17:28,https://sullygnome.com/channel/sapnap/stream/41021583838,91,25307,34701,7161,4092,45158,20844,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
6,Saturday 19th December 2020 17:15,https://sullygnome.com/channel/sapnap/stream/41010086254,75,35173,36615,7037,4691,47987,19174,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
7,Saturday 12th December 2020 19:56,https://sullygnome.com/channel/sapnap/stream/40930784798,168,10749,13922,9261,3087,89995,25151,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
8,Wednesday 9th December 2020 22:57,https://sullygnome.com/channel/sapnap/stream/40888734942,92,33733,41315,9793,5596,67804,27675,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
9,Sunday 6th December 2020 20:21,https://sullygnome.com/channel/sapnap/stream/40846015166,83,31903,37466,8186,5457,68630,36307,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
10,Friday 4th December 2020 17:52,https://sullygnome.com/channel/sapnap/stream/40813310510,82,51258,59504,9471,6314,89789,40407,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
