Unnamed: 0,Stream start time,Stream URL,Stream length,Avg viewers,Peak viewers,Followers gained,Followers per hour,Views,Views per hour,Games
204,Monday 11th May 2020 17:57,https://sullygnome.com/channel/tubbo/stream/37992046288,362,171,254,151,24,1855,285,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
205,Saturday 9th May 2020 17:37,https://sullygnome.com/channel/tubbo/stream/37962182384,217,202,258,82,21,1482,380,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Super Mario Galaxy 2|Super_Mario_Galaxy_2|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Galaxy%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
206,Friday 8th May 2020 17:11,https://sullygnome.com/channel/tubbo/stream/37939140272,153,216,266,86,31,1175,401,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
207,Thursday 7th May 2020 17:20,https://sullygnome.com/channel/tubbo/stream/37918504448,294,248,314,206,41,1824,334,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
208,Wednesday 6th May 2020 17:27,https://sullygnome.com/channel/tubbo/stream/37898050320,167,225,307,89,29,1199,344,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
209,Tuesday 5th May 2020 17:34,https://sullygnome.com/channel/tubbo/stream/37880699440,220,275,339,102,27,1564,382,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
210,Monday 4th May 2020 17:33,https://sullygnome.com/channel/tubbo/stream/37864628512,131,219,267,62,27,833,295,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
211,Sunday 3rd May 2020 17:21,https://sullygnome.com/channel/tubbo/stream/37848243920,293,220,261,168,33,1750,343,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
212,Saturday 2nd May 2020 17:22,https://sullygnome.com/channel/tubbo/stream/37830436960,142,252,285,61,24,847,312,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
213,Friday 1st May 2020 17:11,https://sullygnome.com/channel/tubbo/stream/1424210625,258,220,256,115,27,0,320,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
214,Thursday 30th April 2020 17:08,https://sullygnome.com/channel/tubbo/stream/1407443937,156,208,234,64,23,802,291,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
215,Wednesday 29th April 2020 17:21,https://sullygnome.com/channel/tubbo/stream/1390836561,158,241,269,217,78,1698,617,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
216,Tuesday 28th April 2020 17:16,https://sullygnome.com/channel/tubbo/stream/1376119441,208,195,278,103,29,1240,320,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
217,Monday 27th April 2020 17:15,https://sullygnome.com/channel/tubbo/stream/1361064289,269,292,1056,388,86,3961,786,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
218,Sunday 26th April 2020 17:21,https://sullygnome.com/channel/tubbo/stream/1345919873,203,128,205,66,18,751,191,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Legend of Zelda: Breath of the Wild|The_Legend_of_Zelda_Breath_Of_The_Wild|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Breath%20of%20the%20Wild-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
219,Saturday 25th April 2020 18:06,https://sullygnome.com/channel/tubbo/stream/1328966609,173,123,172,63,21,701,233,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Super Mario Odyssey|Super_Mario_Switch_working_title_|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Odyssey-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
220,Friday 24th April 2020 17:14,https://sullygnome.com/channel/tubbo/stream/1310324545,135,214,245,46,20,775,271,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
221,Thursday 23rd April 2020 17:45,https://sullygnome.com/channel/tubbo/stream/1293912785,149,129,179,50,20,729,239,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Legend of Zelda: Breath of the Wild|The_Legend_of_Zelda_Breath_Of_The_Wild|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Breath%20of%20the%20Wild-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
222,Wednesday 22nd April 2020 17:07,https://sullygnome.com/channel/tubbo/stream/1278816561,217,125,190,83,22,994,256,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Cities: Skylines|Cities_Skylines|https://static-cdn.jtvnw.net/ttv-boxart/./Cities:%20Skylines-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Prison Architect|Prison_Architect|https://static-cdn.jtvnw.net/ttv-boxart/Prison%20Architect-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
223,Tuesday 21st April 2020 17:50,https://sullygnome.com/channel/tubbo/stream/1271727185,219,239,1134,166,44,951,253,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
224,Monday 20th April 2020 17:11,https://sullygnome.com/channel/tubbo/stream/1263150929,93,128,186,39,22,306,174,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
