Unnamed: 0,Stream start time,Stream URL,Stream length,Avg viewers,Peak viewers,Followers gained,Followers per hour,Views,Views per hour,Games
31,Thursday 19th November 2020 19:45,https://sullygnome.com/channel/sykkuno/stream/40569959374,224,47435,58135,12774,3406,210444,49734,Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
32,Thursday 19th November 2020 00:37,https://sullygnome.com/channel/sykkuno/stream/40557440990,307,66644,81841,21986,4187,375582,67275,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
33,Wednesday 18th November 2020 01:01,https://sullygnome.com/channel/sykkuno/stream/40540322446,283,33866,40594,11076,2331,148272,31215,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
34,Tuesday 17th November 2020 00:51,https://sullygnome.com/channel/sykkuno/stream/40521013566,248,39252,44495,11182,2631,169903,36766,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
35,Monday 16th November 2020 01:09,https://sullygnome.com/channel/sykkuno/stream/40506541310,335,38419,43436,15958,2775,223923,36798,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
36,Sunday 15th November 2020 01:06,https://sullygnome.com/channel/sykkuno/stream/40490500414,353,34937,38447,16583,2763,205025,31801,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
37,Friday 13th November 2020 01:27,https://sullygnome.com/channel/sykkuno/stream/40457947278,347,28525,34344,15283,2547,209965,33212,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Genshin Impact|Genshin_Impact|https://static-cdn.jtvnw.net/ttv-boxart/Genshin%20Impact-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
38,Thursday 12th November 2020 00:56,https://sullygnome.com/channel/sykkuno/stream/40443622974,198,70840,104187,23647,6756,333464,86321,Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
39,Wednesday 11th November 2020 01:15,https://sullygnome.com/channel/sykkuno/stream/40429173134,405,31725,41398,0,0,0,0,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
40,Monday 9th November 2020 02:01,https://sullygnome.com/channel/sykkuno/stream/40404562350,284,37657,45044,14384,3028,201492,39464,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
41,Saturday 7th November 2020 21:48,https://sullygnome.com/channel/sykkuno/stream/40386781870,326,53019,64877,20071,3649,286442,48871,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
42,Saturday 7th November 2020 00:54,https://sullygnome.com/channel/sykkuno/stream/40374207358,425,46402,54889,25102,3462,335795,44669,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
43,Thursday 5th November 2020 20:24,https://sullygnome.com/channel/sykkuno/stream/40357784126,440,42753,60667,27250,3633,371905,47340,Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
44,Thursday 5th November 2020 00:46,https://sullygnome.com/channel/sykkuno/stream/40348798958,328,58042,70278,23279,4232,338767,58066,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
45,Tuesday 3rd November 2020 23:34,https://sullygnome.com/channel/sykkuno/stream/40336187102,370,33211,36635,18153,2904,246742,38268,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
46,Monday 2nd November 2020 23:48,https://sullygnome.com/channel/sykkuno/stream/40323774398,296,47837,61205,20217,4043,279771,53071,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|VALORANT|Valorant|https://static-cdn.jtvnw.net/ttv-boxart/VALORANT-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
