Unnamed: 0,Stream start time,Stream URL,Stream length,Avg viewers,Peak viewers,Followers gained,Followers per hour,Views,Views per hour,Games
25,Wednesday 18th November 2020 17:59,https://sullygnome.com/channel/philza/stream/40037359276,435,22458,38625,20480,2824,173329,23907,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
26,Monday 16th November 2020 17:58,https://sullygnome.com/channel/philza/stream/40011352844,361,13951,32391,24955,4159,163982,24870,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
27,Saturday 14th November 2020 19:56,https://sullygnome.com/channel/philza/stream/39989567644,213,14569,24415,7298,1946,88163,21329,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
28,Friday 13th November 2020 17:36,https://sullygnome.com/channel/philza/stream/39973225980,248,6823,12921,5246,1234,64607,14122,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
29,Wednesday 11th November 2020 17:55,https://sullygnome.com/channel/philza/stream/39952173132,319,6078,9416,4322,785,51570,8918,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
30,Monday 9th November 2020 17:58,https://sullygnome.com/channel/philza/stream/39931364428,256,6831,9950,3583,796,42211,9380,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
31,Friday 6th November 2020 17:52,https://sullygnome.com/channel/philza/stream/39896088604,292,6336,8591,3388,677,49149,8698,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
32,Wednesday 4th November 2020 17:59,https://sullygnome.com/channel/philza/stream/39876671932,255,8622,9803,4007,942,49081,10143,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
33,Monday 2nd November 2020 18:15,https://sullygnome.com/channel/philza/stream/39858303468,210,6079,6572,2038,543,32797,8745,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
34,Sunday 1st November 2020 20:00,https://sullygnome.com/channel/philza/stream/39850718028,104,3822,5438,1657,946,20322,11612,Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
35,Saturday 31st October 2020 16:05,https://sullygnome.com/channel/philza/stream/39835217020,219,5299,7173,2138,570,33872,8550,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
36,Friday 30th October 2020 17:57,https://sullygnome.com/channel/philza/stream/39824737260,302,5562,7422,3157,601,47390,8204,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
