"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"252","Friday 7th February 2020 21:35","https://sullygnome.com/channel/tommyinnit/stream/608901585","114","351","409","68","34","1198","599","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"253","Thursday 6th February 2020 19:17","https://sullygnome.com/channel/tommyinnit/stream/602497921","72","433","455","28","28","608","348","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"254","Wednesday 5th February 2020 19:13","https://sullygnome.com/channel/tommyinnit/stream/597458945","61","488","522","31","31","852","484","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"255","Monday 3rd February 2020 18:32","https://sullygnome.com/channel/tommyinnit/stream/586825441","102","424","527","-1","0","1281","593","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"256","Sunday 2nd February 2020 17:37","https://sullygnome.com/channel/tommyinnit/stream/581368017","67","445","577","59","47","1059","847","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"257","Saturday 1st February 2020 19:00","https://sullygnome.com/channel/tommyinnit/stream/575161825","239","723","944","711","177","4608","1039","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"258","Friday 31st January 2020 21:15","https://sullygnome.com/channel/tommyinnit/stream/569630865","135","307","356","83","33","1650","594","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"259","Sunday 26th January 2020 18:27","https://sullygnome.com/channel/tommyinnit/stream/542203089","152","603","758","136","49","2583","847","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"260","Saturday 25th January 2020 19:04","https://sullygnome.com/channel/tommyinnit/stream/535662993","130","836","916","130","57","2265","1006","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"261","Friday 24th January 2020 19:18","https://sullygnome.com/channel/tommyinnit/stream/529101073","131","517","632","89","39","1607","644","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"262","Monday 20th January 2020 18:20","https://sullygnome.com/channel/tommyinnit/stream/507359825","144","766","858","140","56","2395","810","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"263","Sunday 19th January 2020 18:50","https://sullygnome.com/channel/tommyinnit/stream/502585377","99","493","525","101","57","1916","892","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"264","Saturday 18th January 2020 21:19","https://sullygnome.com/channel/tommyinnit/stream/496917761","205","895","1117","295","84","4581","1308","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"265","Friday 17th January 2020 18:50","https://sullygnome.com/channel/tommyinnit/stream/488681185","129","516","652","117","52","2192","791","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"266","Saturday 11th January 2020 21:20","https://sullygnome.com/channel/tommyinnit/stream/455824065","159","825","1053","215","78","3253","1061","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"267","Friday 10th January 2020 20:04","https://sullygnome.com/channel/tommyinnit/stream/448453137","205","578","693","185","52","2847","813","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"268","Tuesday 7th January 2020 19:50","https://sullygnome.com/channel/tommyinnit/stream/432166449","69","492","576","117","93","1316","863","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"269","Monday 6th January 2020 17:13","https://sullygnome.com/channel/tommyinnit/stream/425401409","91","529","672","80","45","1400","596","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"270","Sunday 5th January 2020 17:41","https://sullygnome.com/channel/tommyinnit/stream/419935409","108","881","1000","117","66","2286","1037","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"271","Friday 3rd January 2020 19:35","https://sullygnome.com/channel/tommyinnit/stream/407565921","264","1007","1219","407","90","6902","1379","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"272","Thursday 2nd January 2020 17:42","https://sullygnome.com/channel/tommyinnit/stream/400363777","303","1075","1534","547","104","7567","1258","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"273","Wednesday 1st January 2020 21:32","https://sullygnome.com/channel/tommyinnit/stream/396177905","237","776","1020","314","78","4755","1081","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
