"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"173","Friday 21st February 2020 18:59","https://sullygnome.com/channel/philza/stream/689244465","330","2133","3521","434","78","13848","2430","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rocket League|Rocket_League|https://static-cdn.jtvnw.net/ttv-boxart/Rocket%20League-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"174","Thursday 20th February 2020 18:59","https://sullygnome.com/channel/philza/stream/682458129","345","2192","2539","1601","266","14809","2309","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"175","Wednesday 19th February 2020 18:59","https://sullygnome.com/channel/philza/stream/676678049","315","2374","2649","3111","592","13525","2444","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"176","Wednesday 19th February 2020 00:30","https://sullygnome.com/channel/philza/stream/672871329","0","2206","2362","36","144","2965","8924","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"177","Tuesday 18th February 2020 18:59","https://sullygnome.com/channel/philza/stream/671159409","300","2426","2632","646","129","14992","2998","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"178","Monday 17th February 2020 18:59","https://sullygnome.com/channel/philza/stream/665650401","345","2725","3070","825","143","16506","2726","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"179","Friday 14th February 2020 18:59","https://sullygnome.com/channel/philza/stream/647006513","390","1923","2301","700","107","17842","2664","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"180","Wednesday 12th February 2020 18:59","https://sullygnome.com/channel/philza/stream/636381089","300","2335","6513","987","197","15514","2942","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"181","Monday 10th February 2020 18:56","https://sullygnome.com/channel/philza/stream/625937473","288","2041","2408","640","128","14303","2653","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"182","Sunday 9th February 2020 19:35","https://sullygnome.com/channel/philza/stream/621102305","279","2098","3662","1267","266","16311","3203","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
